기관명,기관구분,주소,홈페이지
경농의료재단양산병원,기초정신건강복지센터,경상남도양산시중앙로7-32양산시보건복지센터4층양산시정신건강복지센터,www.ys.yesbni.com
경대마음정신건강의학과의원,의원,대구광역시남구월배로4742층(대명동),
경대연합정신건강의학과의원,의원,대구광역시남구월배로4682층(대명동한영유니죤빌딩),
경대제이정신건강의학과의원,의원,대구광역시달서구월배로219701호(상인동CENTROTOWER),
경북대학교간호과학연구소,기초정신건강복지센터,경상북도구미시선산대로111,www.gumimind.com
경북대학교간호대학,기초정신건강복지센터,경상북도영천시조양공원길21,www.영천시정신건강복지센터.kr
경북대학교병원,기초정신건강복지센터,대구광역시중구태평로45중구보건소3층,www.중구정신건강복지센터.kr
경북대학교병원,국립,대구광역시중구동덕로130,
경북대학교병원,상급종합병원,대구광역시중구동덕로130(삼덕동2가경북대학교병원),
경북도청보건정책과,보건소,경상북도안동시풍천면도청대로455,
경산복지재단,기초정신건강복지센터,경기도화성시향남로470화성종합경기타운실내체육관내1층,www.hsmind.or.kr
경산복지재단,중독관리통합지원센터,경기도화성시정남면서봉로998정남면보건지소내1층,www.hsalcohol.kr
경산세명병원,기초정신건강복지센터,경상북도경산시남매로158,www.gsmind.or.kr
경산시보건소,보건소,경상북도경산시남매로158,
경산정신과의원,의원,경상북도경산시중앙로69(중방동),
경상남도마산의료원,종합병원,경상남도창원시마산합포구3·15대로231(중앙동3가),
경상대학교병원,국립,경상남도진주시강남로79,
경상대학교병원,상급종합병원,경상남도진주시강남로79(칠암동),
경상대학교병원,중독관리통합지원센터,경상남도진주시진주대로816번길202층,www.jinjuacc.org
경상북도안동의료원,공립,경상북도안동시태사2길55,
경상북도포항의료원,공립,경상북도포항시북구용흥로3,
경상북도김천의료원,종합병원,경상북도김천시모암길24(모암동),
경상북도안동의료원,종합병원,경상북도안동시태사2길55(북문동),
경상북도포항의료원,종합병원,경상북도포항시북구용흥로36(용흥동),
경성대학교산학협력단,기초정신건강복지센터,부산광역시강서구공항로811번길10강서브라이트센터내보건소3층,www.brightmaum.or.kr
경주시보건소,보건소,경상북도경주시양정로300,
경주정신건강상담센터,정신재활시설,경상북도경주시북성로1242층,www.sunarang.com
경주정신건강의학과의원,의원,경상북도경주시봉황로51번길275층(성건동),
경찰병원,종합병원,서울특별시송파구송이로123국립경찰병원(가락동),
경찰병원,국립,서울특별시송파구송이로123,
경희궁삼성정신건강의학과의원,의원,서울특별시종로구송월길992207호(홍파동경희궁자이2단지),
경희대학교병원,상급종합병원,서울특별시동대문구경희대로23(회기동),
경희사회복귀시설,정신재활시설,광주광역시북구연양로105번길14스카이빌301303304호,cafe.daum.net/gkdisdus
경희의료원,기초정신건강복지센터,서울특별시동대문구홍릉로812층,ddmmind.net
계룡시정신건강복지센터,기초정신건강복지센터,충청남도계룡시장안로54(금암동10-5),
계룡시보건소,보건소,충청남도계룡시장안로54,
계명대학교동산병원,상급종합병원,대구광역시달서구달구벌대로1035(신당동),
계양구보건소,보건소,인천광역시계양구계산새로88,
계요병원,기초정신건강복지센터,경기도의왕시오봉로34의왕시보건소별관,www.uwcmh.com
고담의료재단마더스병원,광역정신건강복지센터,울산광역시남구화합로105로하스빌딩2층,www.usmind.or.kr
고담의료재단마더스병원,중독관리통합지원센터,울산광역시남구화합로105(달동로하스빌딩5층),www.usaddiction.or.kr
고담의료재단마더스병원,중독관리통합지원센터,울산광역시중구학성로84-13층,
고려대학교산학협력단,기초정신건강복지센터,경기도안산시단원구화랑로387,www.ansanmind.or.kr
고려대학교산학협력단,중독관리통합지원센터,경기도안산시단원구화랑로3872층,www.ansanacc.or.kr
고려대학교의과대학부속구로병원,상급종합병원,서울특별시구로구구로동로148고려대부속구로병원(구로동),
고려대학교의과대학부속안산병원,상급종합병원,경기도안산시단원구적금로123(고잔동),
고려신경정신과의원,의원,대전광역시중구대종로5042층(은행동),
고려정신건강의학과의원,의원,경기도광명시철산로123층304호(철산동로데오빌딩),
고려제일정신과의원,의원,서울특별시구로구구로동로240세일빌딩2층(구로동),
고려힐링정신건강의학과의원,의원,경기도화성시봉담읍동화길85307-308호,
고려힐링정신건강의학과의원,의원,서울특별시서대문구신촌로35길10212호(북아현동e편한세상신촌4단지),
고령군정신건강복지센터,기초정신건강복지센터,경상북도고령군대가야읍왕릉로56-8,https://www.goryeong.go.kr/health
고령군보건소,보건소,경상북도고령군대가야읍왕릉로56-5,
고석만정신건강의학과의원,의원,강원도원주시능라동길59(무실동정한프라자509호),
고성군정신건강복지센터,기초정신건강복지센터,경상남도고성군남포로79번길103-3,
고성군보건소,보건소,강원도고성군간성읍수성로30,
고성군보건소,보건소,경상남도고성군고성읍남포로79번길103-3,
고성군정신건강복지센터,기초정신건강복지센터,강원고성군간성읍수성로30보건소2층,
고성성심병원,병원,경상남도고성군회화면남해안대로3963-21(회화면),
고성정신요양원,정신요양시설,경상남도고성군마암면남해안대로3268-92,www.gsmental.or.kr
고신경정신과의원,의원,제주특별자치도제주시서광로203(삼도일동),
고신대학교의과대학,기초정신건강복지센터,부산광역시영도구동삼북로2동삼1주공아파트상가209호,www.yeongdomind.or.kr
고신대학교복음병원,상급종합병원,부산광역시서구감천로262(암남동),
고양시덕양구보건소,보건소,경기도고양시덕양구원당로33번길28,
고양시일산동구보건소,보건소,경기도고양시일산동구중앙로122812층,
고양시일산서구보건소,보건소,경기도고양시일산서구일중로54,
고양정신병원,공립,경기도고양시덕양구통일로1102번길46,
고양정신병원,병원,경기도고양시덕양구통일로1102번길46(내유동),
고운누리,정신재활시설,대전광역시서구도마로25번길54101호(도마동),blog.naver.com/h_people2006
고운누리,정신재활시설,경기도성남시수정구산성대로193금성빌딩5층,www.gounnuri.net
고운마음정신과의원,의원,경기도부천시길주로137상록그린힐빌딩504호일부(상동),
고정선신경정신의학과,기초정신건강복지센터,인천광역시동구인중로3772층,www.idcm.or.kr
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시동구인중로3772층,www.icdacc.or.kr
고정선정신건강의학과의원,의원,인천광역시중구참외전로13434층(인현동),
고정신건강의학과의원,의원,인천광역시서구가정로363그린빌딩2층201호(신현동),
고정인정신건강의학과의원,의원,서울특별시강남구테헤란로313211~212호(역삼동성아하이츠1차),http://mindinmind.co.kr/?module=Html&action=SiteComp&sSubNo=5
고창군보건소,보건소,전라북도고창군고창읍전봉준로90,
고천석정신건강의학과의원,의원,광주광역시북구필문대로1032층(풍향동),
고효선정신건강의학과의원,의원,전라북도익산시선화로652층(모현동1가),
고흥군정신건강복지센터,기초정신건강복지센터,전라남도고흥군등암3길5,
고흥군보건소,보건소,전라남도고흥군고흥읍등암3길5,
곡성군보건의료원,보건소,전라남도곡성군곡성읍곡성로854,
공감과성장김현철정신건강의학과의원,의원,대구광역시수성구동대구로300401동4층405호(범어동범어롯데캐슬),
공감더하기정신건강의학과의원,의원,대전광역시서구계백로1135MK클리닉404호(가수원동),
공감정신건강의학과의원,의원,경상남도진주시순환로5277층701호(평거동좋은메디컬빌딩),
공감정신건강의학과의원,의원,서울특별시송파구송파대로404-13층(송파동),
공감정신건강의학과의원,의원,부산광역시중구대청로807층(대청동3가),
공감정신건강의학과의원,의원,충청북도청주시청원구율봉로1416층(율량동),
공감정신건강의학과의원,의원,경상남도김해시능동로149번길6남일빌딩301호(부곡동),
공감정신과의원,의원,인천광역시부평구부평대로6834층(부평동동일빌딩),
공감플러스,정신재활시설,서울특별시강서구화곡로61길130남영빌딩3층,sotong2013.modoo.at/
공군교육사기지병원,병원,경상남도진주시금산면송백로4646,
공군항공우주의료원,국립,충청북도청주시상당구남일면쌍수관기길6,
공군항공우주의료원,병원,충청북도청주시상당구남일면단재로635-0(),
공생하우스,정신재활시설,제주특별자치도제주시아봉로449-10,www.gongsaeng.or.kr
공정신건강의학과의원,의원,부산광역시연제구중앙대로10339층일부호(연산동),
공주노인정신건강의학과의원,의원,충청남도공주시봉정돌고개길37(봉정동),
공주벧엘정신요양원,정신요양시설,충청남도공주시백제문화로2015-20,www.btysw.or.kr
공주시보건소,보건소,충청남도공주시봉황로123,
과천시보건소,보건소,경기도과천시관문로69,
곽병원,종합병원,대구광역시중구국채보상로531(수동),
곽호순병원,병원,대구광역시서구통학로31(내당동),
관악구정신건강복지센터,기초정신건강복지센터,서울특별시관악구관악로1453동4층,www.gwanakmaum.or.kr/
관악구보건소,보건소,서울특별시관악구관악로145,http://www.gwanak.go.kr/site/health/main.do
관악좋은집,정신재활시설,서울특별시관악구법원단지32길5201호(신림동),caf?.naver.com/positivehouse
관저정신건강의학과의원,의원,대전광역시서구관저로1645층(관저동),
광교연세정신건강의학과의원,의원,경기도수원시영통구센트럴타운로106402호(이의동),
광명성애병원,종합병원,경기도광명시디지털로36(철산동광명성애병원),
광명시보건소,보건소,경기도광명시오리로613,
광명시자살예방센터,자살예방센터,경기도광명시오리로613광명시보건소1층11호,www.gspc.kr
광명정신건강의학과의원,의원,경기도광명시오리로9575층(광명동누가빌딩),
광산구보건소,보건소,광주광역시광산구광산로29번길15,
광양시정신건강복지센터,기초정신건강복지센터,전라남도광양시광양읍인덕로1100,www.gwangyang.go.kr
광양시보건소,보건소,전라남도광양시광양읍인덕로1100,
광장정신건강의학과의원,의원,대구광역시서구달구벌대로1733(내당동),
광주광역시기초정신건강복지센터,기초정신건강복지센터,광주광역시서구운천로172번길32(상무금호보건지소정신보건팀),www.haniemhc
광주광역자살예방센터,자살예방센터,광주광역시동구제봉로275층,www.gmhc.kr
광주기독병원,종합병원,광주광역시남구양림로37(양림동),
광주미래병원,병원,광주광역시북구두리봉길59(각화동),
광주보훈병원,종합병원,광주광역시광산구첨단월봉로99(산월동),
광주새생명보건센터,정신재활시설,광주광역시동구중흥로197,www.gjw.or.kr/newlife/
광주소망병원,병원,광주광역시동구천변좌로700(용산동),
광주시립정신병원,공립,광주광역시광산구삼도로84-3,
광주시보건소,보건소,경기도광주시파발로194,
광주시청건강정책과,보건소,광주광역시서구내방로111(치평동),
광주정신건강의학과의원,의원,광주광역시서구상무대로1071(화정동),
광주정신재활센터,정신재활시설,광주광역시북구서하로240-182층,www.gjpsy.org
광주제일병원,중독관리통합지원센터,광주광역시남구독립로25-1,www.namguacc.or.kr
광주제일병원,병원,광주광역시남구회재로1299(백운동광주제일병원),
광주해피라이프,정신재활시설,광주광역시서구화운로172,www.gjw.or.kr/kjhappylife
광진오사랑의집,정신재활시설,서울특별시광진구긴고랑로36길57-11301호,www.gj-silver.co.kr/
광진구보건소,보건소,서울특별시광진구자양로117,
광진구정신건강복지센터,기초정신건강복지센터,서울특별시광진구긴고랑로110중곡종합건강센터4층,www.hopegj.or.kr
광화문숲정신건강의학과의원,의원,서울특별시종로구종로3길303층(청진동),
괴산군정신건강복지센터,기초정신건강복지센터,충청북도괴산군괴산읍읍내로2길27-10,www.gsmhc.co.kr
괴산군보건소,보건소,충청북도괴산군괴산읍동진천길43,
구례군정신건강복지센터,기초정신건강복지센터,전라남도구례군구례읍동편제길30,www.gurye.go.kr/health
구례군보건의료원,보건소,전라남도구례군구례읍동편제길30,
구로구정신건강복지센터,기초정신건강복지센터,서울특별시구로구새말로60,www.grcmhc.or.kr
구로구공동희망학교,정신재활시설,서울특별시구로구구로중앙로18길502층,gcmh2013.com
구로구보건소,보건소,서울특별시구로구구로중앙로28길66,
구리시보건소,보건소,경기도구리시건원대로34번길84,
구미시구미보건소,보건소,경상북도구미시선산대로111,
구미시선산보건소,보건소,경상북도구미시선산읍선주로121,
구미시정신건강복지센터,기초정신건강복지센터,경상북도구미시선산읍선주로121,https://www.gumi.go.kr/ssphc
구월성모정신건강의학과의원,의원,인천광역시남동구호구포로818퍼스트하임프라자213214호(구월동),
구의연세정신건강의학과의원,의원,서울특별시광진구자양로95(자양동),
구자섭정신건강의학과의원,의원,대구광역시달서구조암로1(월성동),
구정신건강의학과의원,의원,대전광역시서구계룡로599MG한밭빌딩4층403호(탄방동),
국군강릉병원,국립,강원도강릉시주문진읍동해대로4371-34,
국군강릉병원,병원,강원도강릉시주문진읍동해대로4371-344371,
국군고양병원,국립,경기도고양시덕양구혜음로215,
국군고양병원,병원,경기도고양시덕양구혜음로215(벽제동),
국군구리병원,병원,경기도구리시인창2로177(인창동국군구리병원),
국군대구병원,국립,경상북도경산시하양읍대경로425-41,
국군대구병원,병원,경상북도경산시하양읍대경로425-41425,
국군대전병원,국립,대전광역시유성구자운로90,
국군대전병원,병원,대전광역시유성구자운로9090,
국군부산병원,병원,부산광역시해운대구세실로186(좌동),
국군부산병원,국립,부산광역시해운대구세실로186번길,
국군수도병원,국립,경기도성남시분당구새마을로177번길81,
국군수도병원,종합병원,경기도성남시분당구새마을로177번길81(율동),
국군양주병원,국립,경기도양주시은현면화합로1133,
국군양주병원,병원,경기도양주시은현면화합로1133(),
국군일동병원,국립,경기도포천시화현면화동로564,
국군춘천병원,국립,강원도춘천시방고개길57,
국군춘천병원,병원,강원도춘천시방고개길57(신동),
국군포천병원,병원,경기도포천시화현면화동로564564,
국군함평병원,국립,전라남도함평군해보면신해로1027,
국군함평병원,병원,전라남도함평군해보면신해로1027(),
국군홍천병원,국립,강원도홍천군두촌면아홉사리로43,
국군홍천병원,병원,강원도홍천군두촌면아홉사리로5353,
국립공주병원,국립,충청남도공주시고분티로623-21,
국립공주병원,광역정신건강복지센터,충청남도홍성군홍북면충청남도대로21,www.chmhc.or.kr
국립공주병원,기초정신건강복지센터,충청남도공주시봉황로1231층,www.gjcmhc.com
국립교통재활병원,국립,경기도양평군양평읍중앙로260,
국립교통재활병원,병원,경기도양평군양평읍중앙로260(),
국립나주병원,국립,전라남도나주시산포면세남로1328-31,
국립나주병원,기초정신건강복지센터,광주광역시광산구상무대로239-13층,www.gsgmc.or.kr
국립나주병원,기초정신건강복지센터,광주광역시남구봉선로15층,www.adolesunrise.net
국립나주병원,광역정신건강복지센터,전라남도나주시산포면세남로1328-31,www.061mind.or.kr
국립나주병원,기초정신건강복지센터,전라남도곡성군곡성읍곡성로,www.gsgmind.or.kr
국립나주병원,기초정신건강복지센터,전라남도나주시건재로2111층,www.najumind.or.kr
국립나주병원,기초정신건강복지센터,전라남도장흥군장흥읍동교1길13,
국립부곡병원,국립,경상남도창녕군부곡면부곡로145,
국립부곡병원,병원,경상남도창녕군부곡면부곡로145(),
국립암센터,국립,경기도고양시일산동구일산로323번지,
국립암센터,종합병원,경기도고양시일산동구일산로323(마두동),
국립재활원,병원,서울특별시강북구삼각산로58(수유동),
국립정신건강센터,병원,서울특별시광진구용마산로127(중곡동국립정신건강센터),www.ncmh.go.kr/ncmh/main.do
국립정신건강센터,중독관리통합지원센터,서울특별시강북구삼양로335-12층,www.gbalcohol.co.kr
국립중앙의료원,기초정신건강복지센터,서울특별시강동구성내로451층,www.happygd.co.kr/
국립중앙의료원,국립,서울특별시중구을지로245,
국립중앙의료원,종합병원,서울특별시중구을지로245(을지로6가),
국립춘천병원,국립,강원도춘천시동산면영서로824,
국립춘천병원,병원,강원도춘천시동산면영서로824824,
국립춘천병원,기초정신건강복지센터,강원도홍천군홍천읍신장대로5홍천군건강증진센터2층,www.hongcheon.gangwon.kr/mental
국민건강보험공단일산병원,기초정신건강복지센터,경기도고양시덕양구고양시청로13-6현대빌딩2층,www.goyangmaum.org
국민건강보험공단일산병원,공립,경기도고양시일산동구일산로100,
국민건강보험공단일산병원,종합병원,경기도고양시일산동구일산로100(백석동백석1동1241외1필지4층),
군산시보건소,보건소,전라북도군산시수송동로58,
군산의료원,중독관리통합지원센터,전라북도군산시백마길16,www.gunsanacc.org
군위군보건소,보건소,경상북도군위군군위읍군청로70,
군포시보건소,보건소,경기도군포시군포로221,
굿모닝내과병원,병원,경상남도창원시의창구사화로6(팔용동),
굿모닝정신건강의학과의원,의원,충청남도천안시동남구만남로92층214호(신부동더샵오피스텔),
굿모닝정신건강의학과의원,의원,충청남도서산시율지5로24(동문동),
굿모닝정신과의원,의원,서울특별시광진구아차산로220203호(자양동),
권오양정신건강의학과의원,의원,경상북도영천시완산로52중원메디빌4층(완산동),
권학수정신건강의학과의원,의원,울산광역시남구삼산중로674층(달동송호빌딩),
귀일정신요양원,정신요양시설,광주광역시남구용대로74번길21,www.gwiilwon.or.kr
그라따,정신재활시설,서울특별시도봉구도봉로181가길61층,
그루정신건강의학과의원,의원,서울특별시마포구양화로165상진빌딩6층(동교동),
그루터기,정신재활시설,제주특별자치도제주시원당북로65,www.gongsaeng.or.kr
그리스도요양원,정신요양시설,부산광역시서구옥천로130번길40,www.happymantal.net
그린나래,정신재활시설,경상북도상주시만산8길61,http://caf?.daum.net/sigreennare
그린홈,정신재활시설,서울특별시중랑구동일로92길39-212층,igonggam.net
근로복지공단대전병원,공립,대전광역시대덕구계족로637(법동),
근로복지공단대전병원,종합병원,대전광역시대덕구계족로637(법동),
근로복지공단안산병원,공립,경기도안산시상록구구룡로87(일동),
근로복지공단인천병원,공립,인천광역시부평구무네미로446(구산동),
근로복지공단창원병원,공립,경상남도창원시성산구창원대로721(중앙동),
근로복지공단창원병원,종합병원,경상남도창원시성산구창원대로721(중앙동),
근로복지공단태백병원,공립,강원도태백시보드미길8(장성동),
근로복지공단태백병원,종합병원,강원도태백시보드미길8(장성동),
근로복지공단안산병원,종합병원,경기도안산시상록구구룡로87근로복지공단안산병원(일동),
근로복지공단인천병원,종합병원,인천광역시부평구무네미로446-(구산동),
글로리병원,병원,인천광역시부평구길주로6551층~11층(삼산동글로리타워),
글로리병원,중독관리통합지원센터,인천광역시부평구마장로410번길5청천2동주민센터3층,www.bpalcohol.or.kr
금산군보건소,보건소,충청남도금산군금산읍금산로1559,
